epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.528,1.47806,3.4988,1.67559,0.73752,0.03489,0.2447,0.13604,1.33001,3.02272,1.55831,0.000328358,0.000328358,0.000328358
2,19.4323,1.37666,2.48101,1.52462,0.44953,0.5238,0.44844,0.26555,1.40942,2.17755,1.65445,0.000655141,0.000655141,0.000655141
3,28.1279,1.3598,2.22427,1.4973,0.53104,0.47053,0.50738,0.30565,1.42333,2.29918,1.62724,0.000975323,0.000975323,0.000975323
4,36.7812,1.37313,2.13861,1.49851,0.43538,0.4962,0.45216,0.25864,1.51182,2.13481,1.69293,0.0009703,0.0009703,0.0009703
5,46.259,1.3238,1.9898,1.464,0.56535,0.55083,0.58125,0.3552,1.43028,1.918,1.66274,0.0009604,0.0009604,0.0009604
6,56.4831,1.29679,1.87316,1.43159,0.61814,0.61689,0.63975,0.40236,1.41422,1.65813,1.62233,0.0009505,0.0009505,0.0009505
7,66.8193,1.28426,1.75407,1.41116,0.66892,0.5672,0.66986,0.41359,1.32526,1.63472,1.5344,0.0009406,0.0009406,0.0009406
8,77.2947,1.26339,1.73155,1.39767,0.64602,0.63322,0.68225,0.43932,1.34031,1.58486,1.52829,0.0009307,0.0009307,0.0009307
9,87.8185,1.26105,1.6456,1.40226,0.64212,0.63275,0.66032,0.41183,1.3522,1.7659,1.50697,0.0009208,0.0009208,0.0009208
10,98.5359,1.19934,1.53304,1.35364,0.67066,0.66412,0.72875,0.47217,1.30755,1.43572,1.51353,0.0009109,0.0009109,0.0009109
11,108.566,1.22325,1.49653,1.35308,0.71516,0.63464,0.69941,0.44576,1.33678,1.48509,1.51442,0.000901,0.000901,0.000901
12,118.043,1.21109,1.49069,1.35316,0.74018,0.68724,0.75897,0.49196,1.2827,1.30098,1.48487,0.0008911,0.0008911,0.0008911
13,127.393,1.16666,1.44427,1.32566,0.66588,0.65452,0.71911,0.46551,1.33376,1.3713,1.506,0.0008812,0.0008812,0.0008812
14,136.968,1.17277,1.34848,1.31121,0.67945,0.72517,0.76214,0.50101,1.34371,1.32484,1.52124,0.0008713,0.0008713,0.0008713
15,146.535,1.16495,1.39217,1.31719,0.73742,0.66766,0.74259,0.49402,1.25564,1.41817,1.43084,0.0008614,0.0008614,0.0008614
16,156.623,1.14852,1.37351,1.30383,0.74144,0.65397,0.70847,0.45619,1.28389,1.36872,1.47614,0.0008515,0.0008515,0.0008515
17,166.222,1.1449,1.34072,1.31067,0.72124,0.72915,0.76554,0.51318,1.24005,1.27859,1.43275,0.0008416,0.0008416,0.0008416
18,175.865,1.12725,1.30999,1.29903,0.74672,0.70512,0.76031,0.51655,1.20596,1.22546,1.41295,0.0008317,0.0008317,0.0008317
19,185.086,1.11672,1.27426,1.29487,0.67834,0.766,0.77237,0.52613,1.18423,1.24515,1.38675,0.0008218,0.0008218,0.0008218
20,194.369,1.10278,1.25567,1.28418,0.74678,0.75303,0.79878,0.54379,1.22965,1.19738,1.40929,0.0008119,0.0008119,0.0008119
21,203.489,1.1061,1.25451,1.28893,0.72399,0.68794,0.7663,0.52047,1.20944,1.30518,1.39795,0.000802,0.000802,0.000802
22,213.152,1.08043,1.22789,1.27789,0.679,0.72053,0.78807,0.532,1.17862,1.27574,1.38421,0.0007921,0.0007921,0.0007921
23,222.823,1.07013,1.18003,1.26097,0.79145,0.69272,0.79176,0.54379,1.21261,1.24692,1.40792,0.0007822,0.0007822,0.0007822
24,232.625,1.06951,1.18315,1.26214,0.75579,0.75967,0.81628,0.5577,1.18078,1.12092,1.41281,0.0007723,0.0007723,0.0007723
25,242.061,1.07457,1.19267,1.26675,0.72245,0.73857,0.77613,0.52631,1.21035,1.27176,1.40168,0.0007624,0.0007624,0.0007624
26,252.94,1.0641,1.11875,1.24849,0.79287,0.67955,0.78919,0.55799,1.17939,1.19066,1.39039,0.0007525,0.0007525,0.0007525
27,263.283,1.04968,1.13131,1.24096,0.76176,0.75694,0.80653,0.55115,1.21293,1.05651,1.4156,0.0007426,0.0007426,0.0007426
28,273.562,1.01654,1.07739,1.21024,0.79942,0.73197,0.80057,0.54352,1.20525,1.15993,1.39416,0.0007327,0.0007327,0.0007327
29,283.235,1.002,1.08861,1.20607,0.81032,0.73028,0.80666,0.56331,1.19979,1.0992,1.3926,0.0007228,0.0007228,0.0007228
30,293.029,1.01227,1.05762,1.21019,0.74006,0.75168,0.79498,0.55379,1.19172,1.17152,1.39282,0.0007129,0.0007129,0.0007129
31,302.956,1.0118,1.06913,1.22395,0.78443,0.77429,0.81634,0.56666,1.16984,1.12531,1.35307,0.000703,0.000703,0.000703
32,312.292,1.01022,1.05361,1.21291,0.78919,0.74332,0.8048,0.56093,1.18443,1.06567,1.40387,0.0006931,0.0006931,0.0006931
33,322.095,1.0056,1.0456,1.21025,0.78769,0.76688,0.80914,0.5629,1.18127,1.09771,1.38793,0.0006832,0.0006832,0.0006832
34,332.102,0.9684,1.00187,1.18912,0.80465,0.76847,0.81432,0.56585,1.16766,0.99807,1.37019,0.0006733,0.0006733,0.0006733
35,341.536,0.99613,1.00709,1.19397,0.78339,0.7225,0.79982,0.55333,1.18399,1.05781,1.34772,0.0006634,0.0006634,0.0006634
36,350.84,0.96848,0.99102,1.17665,0.80957,0.70595,0.794,0.5577,1.21849,1.09795,1.40586,0.0006535,0.0006535,0.0006535
37,359.993,0.96111,0.98557,1.18133,0.75907,0.76512,0.80101,0.55844,1.18258,1.10832,1.38893,0.0006436,0.0006436,0.0006436
